text;label
what said;1
plus youve added commercials to the experience tacky;2
i didnt today must mean i need to take another trip;1
its really aggressive to blast obnoxious entertainment in your guests faces amp;0
and its a really big bad thing about it;0
seriously would pay a flight for seats that didnt have this playing;0
yes nearly every time i fly vx this ear worm wont go away;2
really missed a prime opportunity for men without hats parody there;1
well i didntbut now i do d;2
it was amazing and arrived an hour early youre too good to me;2
did you know that suicide is the second leading cause of death among teens;1
i lt;2
this is such a great deal already thinking about my nd trip to amp;2
im flying your fabulous seductive skies again u take all the stress away from travel;2
thanks;2
sfopdx schedule is still mia;0
so excited for my first cross country flight lax to mco ive heard nothing but great things about virgin america daystogo;2
i flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me help;0
i flying;2
you know what would be amazingly awesome bosfll please i want to fly with only you;2
why are your first fares in may over three times more than other carriers when all seats are available to select;0
i love this graphic;2
i love the hipster innovation you are a feel good brand;2
will you be making bosgt;1
you guys messed up my seating i reserved seating with my friends and you guys gave my seat away i want free internet;0
status match program i applied and its been three weeks called and emailed with no response;0
what happened ur vegan food options at least say on ur site so i know i wont be able eat anything for next hrs fail;0
do you miss me dont worry well be together very soon;1
amazing to me that we cant get any cold air from the vents vx noair worstflightever roasted sfotobos;0
lax to ewr middle seat on a red eye such a noob maneuver sendambien andchexmix;1
hi i just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during flight booking problems;0
are the hours of operation for the club at sfo that are posted online current;1
help left expensive headphones on flight iad to lax today seat a no one answering lamp;0
awaiting my return phone call just would prefer to use your online selfservice option;0
this is great news america could start flights to hawaii by end of year via;2
nice rt vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience;1
moodlighting is the only way to fly best experience ever cool and calming moodlitmonday;2
done and done best airline around hands down;2
when can i book my flight to hawaii;1
your chat support is not working on your site;0
view of downtown los angeles the hollywood sign and beyond that rain in the mountains;2
hey first time flyer next week excited but im having a hard time getting my flights added to my elevate account help;0
plz help me win my bid upgrade for my flight laxgt;1
i have an unused ticket but moved to a new city where you dont fly how can i fly with you before it expires travelhelp;1
are flights leaving dallas for seattle on time feb;1
im elevategold for a good reason you rock;2
dream;1
wow this just blew my mind;2
after last night tribute soundofmusic oscars i think agree;1
all were entertaining;1
is flight on its way was supposed to take off minutes ago website still shows on time not in flight thanks;1
julie andrews all the way though was very impressive no to;2
wish you flew out of atlanta soon;1
julie andrews hands down;1
will flights be leaving dallas for la on february th;1
hi im so excited about your lgagt;0
you know it need it on my spotify stat guiltypleasures;2
im lady gaga she is amazing;2
carrie;1
new marketing song let us know what you think;1
julie andrews first but lady gaga wowd me last night carrie meh;1
i called a weeks ago about adding flights from to my elevatethey still havent shown uphelp;0
all are great but i have to go with carrieunderwood;1
sorry mary martin had it first;1
love all three but you really cant beat the classics;2
flight dal to dca pm tried to check in could not status please;1
heyyyy guyyyys been trying to get through for an hour can someone call me please;0
hi virgin im on hold for minutes are there any earlier flights from la to nyc tonight;0
congrats on winning the award for best deals from an airline us;2
everything was fine until you lost my bag;0
need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online;1
i emailed your customer service team let me know if you need the tracking number;1
hi i just booked a flight but need to add baggage how can i do this;1
your airline is awesome but your lax loft needs to step up its game for dirty tables and floors;0
not worried its been a great ride in a new plane with great crew all airlines should be like this;2
awesome i flew yall sat morning any way we can correct my bill;2
or watch some of the best student films in the country at feet cmfatfeet;1
first time flying you all do you have a different ratepolicy for media bags thanks;1
what is going on with customer service is there anyway to speak to a human asap thank you;0
what happened to doom;1
why cant you supp the biz traveler like and have customer service like neverflyvirginforbusiness;0
ive applied more then once to be a member of the inflight crew teamim interested flightattendant dreampath g;2
youre the best whenever i begrudgingly use any other airline im delayed and late flight;0
i have no interesting flying with you after this i will cancelled flight my next four flights i plannedneverflyvirginforbusiness;0
it was a disappointing experience which will be shared with every business traveler i meet neverflyvirgin;0
im having trouble adding this flight my wife booked to my elevate account help;0
cant bring up my reservation online using flight booking problems code;1
random q whats the distribution of elevate avatars i bet that kitty has a disproportionate share;1
i lt;1
why is the site down when will it be back up;0
you down with rnp yeah you know me;1
hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account;1
i like the tv and interesting video just disappointed in cancelled flightled flight when other flights went out to jfk on saturday;0
just landed in lax an hour after i should of been here your no late flight bag check is not business travel friendly nomorevirgin;0
why is flight redirected;1
is it me or is your website down btw your new website isnt a great user experience time for another redesign;0
i cant check in or add a bag your website isnt working ive tried both desktop and mobile;0
let scanned in passengers leave the plane than told someone to remove their bag from st class bin uncomfortable;0
what is your phone number i cant find who to call about a flight reservation;0
is anyone doing anything there today website is useless and no one is answering the phone;0
trying to add my boy prince to my ressie sf this thursday from lax;1
why must a traveler miss a flight to late flight check a bag i missed my morning appointments and you lost my business sfolax;0
check out new music;1
hows a direct flight fllgt;0
your no late flight bag check just lost you my business i missed flight and am apt three other people on flight had same exp;0
amazing customer service again raeann in sf shes the best customerservice virginamerica flying;2
called your service line and was hung up on this is awesome sarcasm;0
your site is tripping im trying to check in and im getting the plain text version i am reluctant to enter any card info;0
i was scheduled for sfo dal flight today changed to th due weather looks like flight still on;1
has getaway deals through may from oneway lots of cool cities cheapflights farecompare;2
has getaway deals through may from oneway lots of cool cities cheapflights farecompare;1
has getaway deals through may from oneway lots of cool cities cheapflights farecompare;2
has getaway deals through may from oneway lots of cool cities cheapflights farecompare;1
have a great week;2
come back to phl already we need you to take us out of this horrible cold pleasecomeback;2
should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop;0
is the best airline i have flown oneasy to change your reservationhelpful representatives amp;2
and again another rep kicked butt naelah represents your team so beautifully thank you;2
your beautiful frontend design is down right now;2
love the team running gate e at las tonight waited for a delayed flight and they kept things entertaining;2
use another browser amp;0
and now the flight flight booking problems site is totally down folks what is the problem;0
i like the customer service but a min delay just for connecting passengers seems too long va;0
thanks to your outstanding nycjfk crew who moved mountains to get me home to san francisco tonight;2
you have the absolute best team and customer service ever every time i fly with you im delighted thank you;2
do you provide complimentary upgrades to first class if there are available seats;1
i need to change my flight thats scheduled in hours and min wait time on phone im calling intern help;0
completely awesome experience last month boslas nonstop thanks for such an awesome flight and depart time vabeatsjblue;2
how can i watch the oscars on my jfkgt;1
is flight cancelled flightled and what do i do if it is;1
you are failing your customers because your check in process does not link to tsa precheck;0
us too terrible airline just gave us a hotel hotline number and said sorry;0
has flight number from sfo to cabo san lucas arrived yet;1
your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline shame on you;0
another delayed flight likingyoulessandless;0
i need to register a service dog for a first class ticket from sfo gt;0
you rock for making it so i can watch oscars on my flight redcarpet oscars oscars;2
dropped a track on you;1
always xoxo;2
why cant we book seats on your flights when we buy them or even during check in creates so much anxiety frustrated;0
